Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases
1,55,1,2,1,53,16,0,7,3,3.1,1,1,1,1,14,5,3
2,19,1,23,1,64,18,0,12,3,3.1,1,1,1,1,2,1,3
3,50,1,11,1,73,20,2,12,1,3.1,1,2,1,1,23,2,6
4,21,1,14,2,90,38,1,12,1,3.5,1,3,1,1,49,4,6
5,45,1,2,1,49,36,1,21,1,2.7,1,2,1,1,31,4,0
6,46,1,20,2,20,49,1,23,2,2.9,1,4,1,1,14,5,6
7,63,1,16,1,85,25,1,7,0,3.2,1,2,1,1,49,1,5
8,27,1,18,1,34,17,0,4,3,3.2,1,2,1,1,19,2,6
9,26,1,4,3,97,47,0,19,2,2.6,1,1,1,1,8,5,0
10,57,1,7,0,31,24,1,16,1,4.8,1,0,1,1,4,1,5
11,53,1,17,2,34,3,0,17,0,4.1,1,5,1,1,26,0,1
12,30,1,18,1,68,10,2,13,3,4.9,1,5,1,1,10,0,3
13,61,1,4,3,72,7,1,6,3,4.5,1,1,1,1,37,5,3
14,65,1,5,1,51,28,1,22,1,4.7,1,1,1,1,31,4,6
15,64,1,4,3,53,31,0,20,3,4.7,1,2,1,1,34,3,6
16,64,1,19,1,81,38,1,20,3,2.8,1,5,1,1,8,4,4
17,25,1,22,0,36,0,2,7,1,4.1,1,3,1,1,44,3,1
18,53,1,5,1,38,23,3,10,3,4.7,1,0,1,1,36,5,5
19,52,1,23,1,48,25,2,1,2,4.6,1,2,1,1,17,1,6
20,66,1,13,1,90,38,1,8,2,3.3,1,4,1,1,46,3,1
21,21,1,13,1,51,17,1,1,3,2.8,1,1,1,1,50,1,2
22,31,1,13,1,62,32,1,4,3,4.1,1,5,1,1,22,3,5
23,56,1,13,1,37,4,1,15,2,3.2,1,5,1,1,32,3,0
24,31,1,13,1,88,35,3,23,3,4.4,1,1,1,1,40,2,6
25,18,1,10,3,22,8,1,8,0,2.9,1,5,1,1,16,3,6
26,18,1,9,1,25,42,1,19,2,3.6,1,1,1,1,14,4,0
27,38,1,12,0,20,27,1,18,1,3.6,1,3,1,1,13,2,0
28,56,1,18,1,56,16,0,5,2,5.0,1,3,1,1,7,0,2
29,54,1,7,0,94,32,1,7,0,4.4,1,2,1,1,41,4,2
30,31,1,5,1,48,49,2,1,0,4.1,1,5,1,1,14,2,6
31,57,1,12,0,31,32,0,1,3,4.7,1,4,1,1,16,2,4
32,33,1,5,1,79,47,0,3,3,4.7,1,5,1,1,45,5,4
33,36,1,10,3,67,15,1,19,2,4.9,1,2,1,1,37,5,0
34,54,1,13,1,38,5,0,8,2,3.3,1,5,1,1,45,1,5
35,36,1,24,1,91,33,0,22,1,4.6,1,0,1,1,38,4,5
36,54,1,2,1,33,20,1,5,2,4.0,1,0,1,1,48,2,1
37,35,1,24,1,69,12,1,12,3,4.6,1,2,1,1,44,4,3
38,35,1,11,1,45,13,2,5,2,2.8,1,5,1,1,10,4,6
39,29,1,5,1,37,8,1,18,3,3.7,1,0,1,1,44,5,2
40,70,1,13,1,60,2,2,21,2,4.2,1,1,1,1,18,2,4
41,69,1,7,0,76,17,0,0,3,4.6,1,3,1,1,31,3,5
42,67,1,15,0,39,1,1,14,1,4.5,1,4,1,1,40,5,0
43,20,1,4,3,100,41,1,0,1,4.1,1,2,1,1,15,4,0
44,25,1,15,0,69,34,0,10,0,3.7,1,5,1,1,19,4,3
45,39,1,8,0,53,16,2,19,2,4.6,1,2,1,1,45,4,6
46,50,1,21,1,21,41,3,9,0,2.9,1,0,1,1,25,4,0
47,57,1,16,1,43,4,0,23,2,2.9,1,5,1,1,45,1,5
48,55,1,12,0,54,25,1,4,3,4.5,1,2,1,1,36,1,6
49,42,1,16,1,55,27,1,14,2,2.7,1,5,1,1,38,1,4
50,68,1,9,1,30,29,2,9,1,4.6,1,3,1,1,34,3,1
51,49,1,2,1,28,19,1,18,1,3.7,1,5,1,1,39,3,1
52,59,1,19,1,59,44,3,7,3,4.7,1,0,1,1,7,2,5
53,42,1,24,1,20,1,1,8,2,2.6,1,2,1,1,26,2,6
54,29,1,19,1,24,23,2,15,3,3.9,1,3,1,1,35,2,6
55,47,1,4,3,94,30,1,3,2,4.2,1,3,1,1,35,3,1
56,40,1,10,3,28,39,1,10,3,3.0,1,0,1,1,49,2,0
57,41,1,0,0,73,23,3,3,2,4.7,1,5,1,1,46,2,6
58,21,1,4,3,64,47,1,23,2,4.4,1,5,1,1,17,3,3
59,69,1,9,1,54,24,1,4,2,4.2,1,2,1,1,29,5,4
60,63,1,1,0,79,17,0,24,1,4.6,1,4,1,1,4,3,6
61,50,1,23,1,37,11,0,3,2,4.0,1,1,1,1,17,1,6
62,55,1,15,0,68,42,1,14,3,4.7,1,5,1,1,21,2,2
63,30,1,20,2,21,23,2,11,1,3.8,1,2,1,1,31,2,3
64,33,1,22,0,79,2,0,10,3,2.7,1,0,1,1,43,2,6
65,65,1,3,2,83,0,2,8,0,4.8,1,4,1,1,18,3,3
66,65,1,0,0,36,29,1,17,1,4.8,1,0,1,1,44,5,2
67,31,1,2,1,94,37,2,11,3,4.7,1,0,1,1,3,5,2
68,45,1,4,3,33,6,0,7,3,4.4,1,5,1,1,49,3,4
69,57,1,7,0,46,43,0,19,2,3.9,1,3,1,1,21,1,2
70,48,1,1,0,70,41,2,5,2,4.4,1,1,1,1,5,1,6
71,22,1,1,0,29,0,1,11,0,4.2,1,1,1,1,32,3,2
72,36,1,5,1,48,45,0,6,2,2.9,1,1,1,1,34,0,0
73,18,1,5,1,26,9,1,13,3,2.9,1,5,1,1,21,0,2
74,48,1,13,1,85,10,1,20,1,2.7,1,2,1,1,43,0,1
75,49,1,6,0,58,13,0,22,1,4.5,1,1,1,1,3,1,4
76,64,1,15,0,85,43,1,2,2,2.7,1,2,1,1,21,2,0
77,50,1,8,0,43,7,2,20,2,4.2,1,2,1,1,32,5,4
78,22,1,5,1,53,7,0,6,2,3.3,1,3,1,1,36,3,3
79,50,1,19,1,91,26,1,12,1,4.7,1,2,1,1,50,5,3
80,38,1,10,3,96,14,1,13,3,2.6,1,0,1,1,43,0,2
81,19,1,14,2,72,31,3,2,2,3.3,1,5,1,1,24,2,2
82,67,1,17,2,96,45,0,12,2,2.6,1,1,1,1,36,2,2
83,19,1,13,1,28,9,2,13,1,4.0,1,0,1,1,21,2,2
84,36,1,5,1,40,42,1,21,2,4.1,1,4,1,1,34,0,6
85,52,1,4,3,32,2,2,15,1,4.4,1,4,1,1,42,0,2
86,53,1,22,0,95,30,1,4,3,4.5,1,3,1,1,2,3,1
87,24,1,9,1,41,27,0,16,1,3.7,1,0,1,1,47,1,1
88,52,1,17,2,53,34,1,8,0,3.7,1,0,1,1,44,3,3
89,33,1,24,1,47,49,1,14,0,3.5,1,2,1,1,35,2,4
90,47,1,10,3,83,4,3,16,0,3.6,1,3,1,1,15,1,5
91,25,1,8,0,48,39,0,22,2,2.9,1,1,1,1,29,2,4
92,44,1,15,0,99,39,2,8,3,4.6,1,4,1,1,18,2,2
93,61,1,10,3,87,42,1,13,3,4.4,1,0,1,1,13,5,2
94,37,1,23,1,62,8,1,17,0,4.5,1,4,1,1,46,2,6
95,58,1,19,1,76,27,2,19,1,4.6,1,2,1,1,28,2,6
96,37,1,20,2,100,24,0,16,0,3.8,1,2,1,1,48,4,4
97,32,1,6,0,73,7,2,6,1,3.6,1,1,1,1,43,5,2
98,21,1,17,2,92,45,1,20,3,4.8,1,5,1,1,37,1,0
99,20,1,11,1,67,31,3,20,1,2.6,1,3,1,1,20,0,0
100,26,1,9,1,40,24,3,9,2,3.7,1,1,1,1,33,3,5
101,62,1,22,0,98,40,1,12,0,2.7,1,1,1,1,31,1,3
102,27,1,4,3,85,33,3,23,1,4.6,1,1,1,1,50,2,1
103,51,1,21,1,67,35,0,22,3,4.8,1,3,1,1,35,2,5
104,54,1,3,2,89,47,0,18,3,4.0,1,3,1,1,22,5,1
105,55,1,22,0,24,28,0,16,1,4.4,1,0,1,1,1,4,4
106,69,1,0,0,96,31,1,4,0,3.6,1,3,1,1,4,0,0
107,64,1,10,3,35,22,0,23,2,3.7,1,4,1,1,31,2,4
108,28,1,20,2,67,19,0,13,3,3.1,1,3,1,1,46,4,3
109,70,1,21,1,79,25,0,17,1,3.4,1,3,1,1,32,0,1
110,58,1,24,1,85,0,1,22,1,2.6,1,3,1,1,43,0,3
111,56,1,0,0,26,31,1,1,2,4.0,1,4,1,1,26,5,3
112,26,1,1,0,75,20,0,17,2,5.0,1,2,1,1,9,2,0
113,37,1,6,0,65,8,1,18,1,4.3,1,2,1,1,28,4,1
114,44,1,8,0,54,29,0,12,3,3.1,1,3,1,1,20,4,5
115,70,1,4,3,95,20,2,2,2,3.7,1,5,1,1,9,1,6
116,53,1,19,1,94,49,1,7,1,3.8,1,4,1,1,48,3,2
117,55,1,17,2,86,45,2,2,1,3.4,1,2,1,1,12,5,0
118,50,1,14,2,32,40,0,24,2,4.6,1,1,1,1,29,1,3
119,50,1,23,1,45,16,0,14,0,4.8,1,0,1,1,27,1,1
120,38,1,4,3,76,49,1,14,0,4.3,1,1,1,1,44,1,0
121,64,1,8,0,84,47,0,18,2,4.0,1,1,1,1,32,0,0
122,19,1,18,1,72,45,1,13,3,4.2,1,4,1,1,11,1,3
123,40,1,0,0,40,46,0,3,1,4.8,1,0,1,1,44,1,3
124,57,1,23,1,89,17,0,3,0,3.1,1,2,1,1,46,1,6
125,44,1,23,1,86,27,1,7,1,3.1,1,3,1,1,50,4,0
126,49,1,18,1,54,4,1,9,3,3.6,1,3,1,1,45,5,2
127,43,1,18,1,36,23,0,16,1,3.9,1,5,1,1,48,1,2
128,24,1,23,1,89,23,1,7,3,4.8,1,3,1,1,26,2,6
129,20,1,15,0,32,4,1,6,1,4.7,1,4,1,1,21,2,3
130,24,1,5,1,67,37,3,13,2,4.2,1,0,1,1,49,4,1
131,44,1,15,0,39,16,0,22,0,3.7,1,3,1,1,13,4,3
132,28,1,19,1,29,18,0,9,2,3.9,1,4,1,1,46,2,6
133,30,1,0,0,58,30,1,14,0,4.7,1,0,1,1,42,4,6
134,52,1,23,1,65,25,1,22,3,2.5,1,3,1,1,25,5,0
135,43,1,8,0,94,42,0,7,0,4.9,1,5,1,1,25,1,4
136,43,1,14,2,81,15,1,17,0,4.1,1,1,1,1,12,4,5
137,39,1,2,1,86,39,1,23,3,3.3,1,2,1,1,4,3,5
138,68,1,20,2,43,5,1,21,1,4.7,1,2,1,1,38,4,6
139,68,1,19,1,29,9,1,12,3,4.4,1,5,1,1,42,0,6
140,49,1,4,3,95,8,1,23,0,3.8,1,5,1,1,30,5,0
141,63,1,16,1,28,32,0,24,0,3.9,1,0,1,1,50,2,6
142,56,1,6,0,46,45,1,21,0,4.9,1,2,1,1,45,4,6
143,37,1,10,3,58,26,0,22,0,3.1,1,2,1,1,33,2,3
144,30,1,4,3,48,24,1,0,0,2.7,1,5,1,1,25,4,5
145,19,1,17,2,43,29,1,19,0,3.2,1,1,1,1,25,1,4
146,24,1,12,0,95,24,1,20,0,4.5,1,4,1,1,44,3,5
147,52,1,19,1,30,5,2,1,0,4.0,1,4,1,1,21,5,3
148,63,1,17,2,64,11,1,17,2,3.5,1,0,1,1,31,0,3
149,37,1,6,0,90,49,1,7,0,2.6,1,5,1,1,47,3,0
150,38,1,13,1,76,7,1,23,2,3.2,1,2,1,1,14,4,4
151,35,1,3,2,96,4,0,5,0,4.9,1,4,1,1,17,3,2
152,28,1,22,0,47,33,0,21,0,4.5,1,3,1,1,3,5,0
153,30,1,16,1,85,39,2,3,2,4.3,1,1,1,1,42,5,0
154,69,1,9,1,55,32,1,12,3,3.2,1,4,1,1,22,3,0
155,41,1,5,1,98,35,1,4,0,3.6,1,3,1,1,21,5,5
156,63,1,21,1,77,18,2,13,1,4.3,1,2,1,1,21,0,5
157,35,1,18,1,26,24,1,10,0,4.0,1,4,1,1,40,3,0
158,36,1,8,0,68,44,2,24,0,3.0,1,3,1,1,1,0,3
159,25,1,16,1,73,6,3,20,0,4.1,1,4,1,1,50,0,4
160,58,1,6,0,27,28,1,4,0,3.8,1,5,1,1,39,0,2
161,27,1,6,0,23,42,1,14,2,4.6,1,2,1,1,34,5,4
162,65,1,0,0,49,33,1,13,0,3.0,1,1,1,1,29,5,3
163,54,1,22,0,74,4,1,21,2,3.0,1,5,1,1,31,4,1
164,54,1,19,1,67,45,1,17,2,3.4,1,4,1,1,8,3,6
165,59,1,7,0,65,7,2,17,1,2.6,1,2,1,1,5,2,3
166,42,1,7,0,60,16,2,24,3,2.8,1,5,1,1,7,1,4
167,46,1,20,2,31,7,3,9,0,4.0,1,5,1,1,30,1,4
168,33,1,6,0,27,3,1,8,0,4.0,1,1,1,1,14,2,2
169,34,1,17,2,80,17,1,11,2,3.0,1,1,1,1,5,1,3
170,27,1,10,3,30,27,2,6,2,3.3,1,4,1,1,3,4,2
171,52,1,16,1,25,49,1,12,0,2.6,1,5,1,1,46,5,1
172,29,1,18,1,35,45,1,2,2,3.6,1,5,1,1,4,2,6
173,54,1,12,0,67,26,1,22,2,3.9,1,3,1,1,42,2,1
174,25,1,8,0,46,10,1,21,0,3.4,1,4,1,1,30,1,0
175,41,1,17,2,35,44,0,3,3,3.5,1,1,1,1,37,5,0
176,53,1,4,3,86,35,0,22,0,2.8,1,3,1,1,2,0,0
177,53,1,0,0,81,28,0,1,1,2.7,1,3,1,1,30,2,5
178,21,1,9,1,42,15,0,11,0,3.7,1,3,1,1,47,0,4
179,61,1,19,1,43,11,0,10,0,4.3,1,0,1,1,21,4,5
180,64,1,3,2,31,12,1,22,0,4.9,1,5,1,1,9,0,3
181,51,1,14,2,81,40,0,8,0,3.3,1,5,1,1,12,3,3
182,32,1,13,1,61,20,1,0,2,4.7,1,3,1,1,4,0,6
183,38,1,6,0,96,0,3,17,2,2.8,1,5,1,1,10,3,0
184,58,1,19,1,29,34,3,0,1,3.6,1,0,1,1,26,2,6
185,32,1,20,2,33,10,0,5,1,3.0,1,1,1,1,40,1,3
186,46,1,24,1,32,48,3,19,2,4.5,1,5,1,1,34,0,3
187,39,1,0,0,56,22,2,10,2,2.9,1,4,1,1,31,3,0
188,19,1,17,2,94,9,2,17,1,3.3,1,5,1,1,1,0,1
189,50,1,9,1,53,3,1,16,1,3.1,1,1,1,1,5,0,1
190,36,1,2,1,82,47,1,12,0,4.4,1,3,1,1,4,2,6
191,65,1,4,3,70,13,3,0,0,3.0,1,2,1,1,48,5,5
192,64,1,8,0,76,43,1,7,0,3.9,1,2,1,1,29,1,2
193,46,1,17,2,29,26,0,21,2,2.9,1,1,1,1,12,4,1
194,36,1,1,0,100,33,2,19,0,3.0,1,4,1,1,29,5,0
195,51,1,0,0,94,24,1,13,1,3.1,1,1,1,1,15,3,5
196,51,1,10,3,25,31,1,11,0,4.3,1,2,1,1,34,2,4
